"tl2_id","tl1_id","iso3","name_or","name_en","name_fr","continenta","reg_name_p","EU","EEA","mapineq"
"ES53","ESP73","ESP","Baleares","Balearic Islands","Îles Baléares","f","Balearic I.",TRUE,TRUE,TRUE
"ES61","ESP73","ESP","Andalucía","Andalusia","Andalousie","f","Andalusia",TRUE,TRUE,TRUE
"ES62","ESP73","ESP","Región de Murcia","Murcia","Murcia","f","Murcia",TRUE,TRUE,TRUE
"ES63","ESP73","ESP","Ciudad Autónoma de Ceuta (ES)","Ceuta","Ceuta","f","Ceuta",TRUE,TRUE,TRUE
"ES64","ESP73","ESP","Ciudad Autónoma de Melilla (ES)","Melilla","Melilla","f","Melilla",TRUE,TRUE,TRUE
"ES70","ESP73","ESP","Canarias (ES)","Canary Islands","Îles Canaries","f","Canary Islands",TRUE,TRUE,TRUE
"FI19","FIN247","FIN","Länsi-Suomi","Western Finland","Finlande occidentale","f","West",TRUE,TRUE,TRUE
"FI1B","FIN247","FIN","Helsinki-Uusimaa","Helsinki-Uusimaa","Helsinki-Uusimaa","f","Helsinki-Uusimaa",TRUE,TRUE,TRUE
"FI1C","FIN247","FIN","Etelä-Suomi","Southern Finland","Sud de la Finlande","f","South",TRUE,TRUE,TRUE
"FI1D","FIN247","FIN","Pohjois- ja Itä-Suomi","Eastern and Northern Finland","Est et Nord de la Finlande","f","East and North",TRUE,TRUE,TRUE
"FI20","FIN247","FIN","Åland","Åland","Åland","f","Åland",TRUE,TRUE,TRUE
"FR1","FRA260","FRA","Île-de-France","Île-de-France","Île-de-France","f","Île-de-France",TRUE,TRUE,TRUE
"FRB","FRA260","FRA","Centre - Val de Loire","Centre - Val de Loire","Centre - Val de Loire","f","Centre Val de Loire",TRUE,TRUE,TRUE
"FRC","FRA260","FRA","Bourgogne-Franche-Comté","Bourgogne-Franche-Comté","Bourgogne-Franche-Comté","f","Bourgogne-Franche-C.",TRUE,TRUE,TRUE
"FRD","FRA260","FRA","Normandie","Normandy","Normandie","f","Normandy",TRUE,TRUE,TRUE
"FRE","FRA260","FRA","Hauts-de-France","Hauts-de-France","Hauts-de-France","f","Hauts-de-France",TRUE,TRUE,TRUE
"FRF","FRA260","FRA","Grand Est","Grand Est","Grand Est","f","Grand Est",TRUE,TRUE,TRUE
"FRG","FRA260","FRA","Pays de la Loire","Pays de la Loire","Pays de la Loire","f","Pays de la Loire",TRUE,TRUE,TRUE
"FRH","FRA260","FRA","Bretagne","Brittany","Bretagne","f","Brittany",TRUE,TRUE,TRUE
"FRI","FRA260","FRA","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine","f","Nouvelle-Aquitaine",TRUE,TRUE,TRUE
"FRJ","FRA260","FRA","Occitanie","Occitanie","Occitanie","f","Occitanie",TRUE,TRUE,TRUE
"FRK","FRA260","FRA","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes","f","Auvergne-Rhône-Alpes",TRUE,TRUE,TRUE
"FRL","FRA260","FRA","Provence-Alpes-Côte d’Azur","Provence-Alpes-Côte d’Azur","Provence-Alpes-Côte d’Azur","f","Provence-Alpes-Côte d’A.",TRUE,TRUE,TRUE
"FRM","FRA260","FRA","Corse","Corsica","Corse","f","Corsica",TRUE,TRUE,TRUE
"FRY1","FRA260","FRA","Guadeloupe","Guadeloupe","Guadeloupe","f","Guadeloupe",TRUE,TRUE,TRUE
"FRY2","FRA260","FRA","Martinique","Martinique","Martinique","f","Martinique",TRUE,TRUE,TRUE
"FRY3","FRA260","FRA","Guyane","French Guiana","Guyane","f","French Guiana",TRUE,TRUE,TRUE
"FRY4","FRA260","FRA","La Réunion","La Réunion","La Réunion","f","La Réunion",TRUE,TRUE,TRUE
"FRY5","FRA260","FRA","Mayotte","Mayotte","Mayotte","f","Mayotte",TRUE,TRUE,TRUE
"HR03","HRV43","HRV","Jadranska Hrvatska","Adriatic Croatia","Croatie Adriatique","f","Adriatic Croatia",TRUE,TRUE,TRUE
"HR04","HRV43","HRV","Kontinentalna Hrvatska","Continental Croatia","Croatie continentale","f","Continental Croatia",TRUE,TRUE,TRUE
"HU11","HUN24","HUN","Budapest","Budapest","Budapest","f","Budapest",TRUE,TRUE,TRUE
"HU12","HUN24","HUN","Pest","Pest","Pest","f","Pest",TRUE,TRUE,TRUE
"HU21","HUN24","HUN","Közép-Dunántúl/Central Transdanubia","Central Transdanubia","Transdanubie centrale","f","C. Transdanubia",TRUE,TRUE,TRUE
"HU22","HUN24","HUN","Nyugat-Dunántúl/Western Transdanubia","Western Transdanubia","Transdanubie occidentale","f","W. Transdanubia",TRUE,TRUE,TRUE
"HU23","HUN24","HUN","Del-Dunántúl/Southern Transdanubia","Southern Transdanubia","Transdanubie du Sud","f","S. Transdanubia",TRUE,TRUE,TRUE
"HU31","HUN24","HUN","Eszak-Magyarorszag/Northern Hungary","Northern Hungary","Hongrie du Nord","f","North",TRUE,TRUE,TRUE
"HU32","HUN24","HUN","Eszak-Alfold/Northern Great Plain","Northern Great Plain","Grande Plaine du Nord","f","N. Great Plain",TRUE,TRUE,TRUE
