id,geo,obsvalue,indicator,freq,obstime,unit,geo_source
417,BG312,3526.04,non-built-up,,2018,km2,NUTS2016
418,SK02,13979.48,non-built-up,,2018,km2,NUTS2016
419,DE737,965.8000000000001,non-built-up,,2018,km2,NUTS2016
420,DE803,119.76,non-built-up,,2018,km2,NUTS2016
421,DE804,100.8,non-built-up,,2018,km2,NUTS2016
422,DE80L,3017.84,non-built-up,,2018,km2,NUTS2016
423,DE923,723.24,non-built-up,,2018,km2,NUTS2016
424,UKG1,5323.68,non-built-up,,2018,km2,NUTS2016
425,UKH3,3136.56,non-built-up,,2018,km2,NUTS2016
426,DE94E,1897.08,non-built-up,,2018,km2,NUTS2016
427,DE94F,718.04,non-built-up,,2018,km2,NUTS2016
428,DE94G,760.44,non-built-up,,2018,km2,NUTS2016
429,DEA59,648.04,non-built-up,,2018,km2,NUTS2016
430,UKL2,7207.4400000000005,non-built-up,,2018,km2,NUTS2016
431,UKM5,6277.28,non-built-up,,2018,km2,NUTS2016
432,UKM6,40772.16,non-built-up,,2018,km2,NUTS2016
433,DEA5A,1019.64,non-built-up,,2018,km2,NUTS2016
434,DEA5B,1174.44,non-built-up,,2018,km2,NUTS2016
435,DEA5C,405.84000000000003,non-built-up,,2018,km2,NUTS2016
436,DEB11,76.12,non-built-up,,2018,km2,NUTS2016
437,BG313,3495.8,non-built-up,,2018,km2,NUTS2016
438,UKM9,15434.28,non-built-up,,2018,km2,NUTS2016
439,AT321,1001.44,non-built-up,,2018,km2,NUTS2016
